Experiment,Model,Input File,precision_child,f1_child,recall_child,precision_father,f1_father,recall_father,precision_followed_by,f1_followed_by,recall_followed_by,precision_follows,f1_follows,recall_follows,precision_has_part,f1_has_part,recall_has_part,precision_mother,f1_mother,recall_mother,precision_part_of,recall_part_of,f1_part_of,precision_other,f1_other,recall_other
MT,flan-t5-xl,report_head_tail_templates_with_desc_1.json,0.48083333333333333,0.5274223034734917,0.5840080971659919,0.47648261758691207,0.439622641509434,0.4080560420315236,0.5470085470085471,0.5245901639344263,0.5039370078740157,0.526615969581749,0.5436702649656526,0.5618661257606491,0.0,0.0,0.0,0.6086956521739131,0.4883720930232558,0.4077669902912621,0.4662576687116564,1.0,0.6359832635983264,,,
MT,flan-t5-xl,report_head_tail_templates_without_desc_1.json,0.40523776705720194,0.4821648216482165,0.5951417004048583,0.335149863760218,0.2622601279317697,0.21541155866900175,0.48839907192575405,0.6145985401459854,0.8287401574803149,0.3492063492063492,0.1421647819063005,0.08924949290060852,0.375,0.03296703296703297,0.017241379310344827,0.3694581280788177,0.20891364902506965,0.14563106796116504,0.46226415094339623,0.9671052631578947,0.625531914893617,,,
MT,flan-t5-xl,report_tail_head_templates_with_desc_1.json,0.5218554861730598,0.5301314000906208,0.5386740331491713,0.5333333333333333,0.5129118432769367,0.4939965694682676,0.4552238805970149,0.4742468415937804,0.4949290060851927,0.46637744034707157,0.4437564499484004,0.42322834645669294,0.0,0.0,0.0,0.38315217391304346,0.3648124191461837,0.34814814814814815,0.5325077399380805,0.9885057471264368,0.6921529175050302,,,
MT,flan-t5-xl,report_tail_head_templates_without_desc_1.json,0.581989247311828,0.6728826728826729,0.7974217311233885,0.6606060606060606,0.47754654983570644,0.37392795883361923,0.49049881235154397,0.6187265917602996,0.8377281947261663,0.5172413793103449,0.22970903522205208,0.14763779527559054,1.0,0.0880503144654088,0.046052631578947366,0.592391304347826,0.3701188455008489,0.2691358024691358,0.5454545454545454,1.0,0.7058823529411765,,,
MT,Llama-3.1-8B-Instruct,report_head_tail_templates_with_desc_1.json,0.38175675675675674,0.28607594936708863,0.22874493927125505,0.46680497925311204,0.5863192182410424,0.7880910683012259,0.4645669291338583,0.5574803149606299,0.6968503937007874,0.35564853556485354,0.23224043715846995,0.1724137931034483,0.0,0.0,0.0,0.5219123505976095,0.5152409046214356,0.5087378640776699,0.0,0.0,0.0,,,
MT,Llama-3.1-8B-Instruct,report_head_tail_templates_without_desc_1.json,0.5496402877697841,0.45395127748068925,0.3866396761133603,0.5327102803738317,0.6391030133146461,0.7985989492119089,0.5583238958097395,0.7088425593098491,0.9704724409448819,0.8728813559322034,0.337152209492635,0.20892494929006086,0.3333333333333333,0.011299435028248588,0.005747126436781609,0.6097087378640776,0.6097087378640776,0.6097087378640776,0.46439628482972134,0.9868421052631579,0.631578947368421,,,
MT,Llama-3.1-8B-Instruct,report_tail_head_templates_with_desc_1.json,0.4772313296903461,0.3204892966360856,0.24125230202578268,0.48785425101214575,0.6136218968809676,0.8267581475128645,0.45634920634920634,0.5524419535628503,0.6997971602434077,0.39591836734693875,0.25763612217795484,0.19094488188976377,1.0,1.0,1.0,0.39846743295019155,0.4487594390507012,0.5135802469135803,1.0,1.0,1.0,,,
MT,Llama-3.1-8B-Instruct,report_tail_head_templates_without_desc_1.json,0.4460338101430429,0.36981132075471695,0.31583793738489874,0.4530663329161452,0.5238784370477568,0.6209262435677531,0.4670981661272923,0.6098591549295774,0.8782961460446247,0.1891891891891892,0.048109965635738834,0.027559055118110236,1.0,0.025974025974025976,0.013157894736842105,0.3946830265848671,0.4317673378076063,0.4765432098765432,0.5370370370370371,1.0,0.6987951807228916,,,
MT,Qwen2.5-7B-Instruct,report_head_tail_templates_with_desc_1.json,0.3481349911190053,0.25274016763378465,0.19838056680161945,0.14814814814814814,0.07368421052631578,0.04903677758318739,0.30679156908665106,0.2802139037433155,0.2578740157480315,0.12422360248447205,0.06116207951070336,0.04056795131845842,0.16666666666666666,0.021505376344086023,0.011494252873563218,0.3523809523809524,0.11935483870967742,0.07184466019417475,0.2777777777777778,0.03289473684210526,0.058823529411764705,,,
MT,Qwen2.5-7B-Instruct,report_head_tail_templates_without_desc_1.json,0.2958015267175573,0.20502645502645503,0.15688259109311742,0.39416058394160586,0.15254237288135594,0.09457092819614711,0.8045112781954887,0.3338533541341654,0.2106299212598425,0.8375,0.2338568935427574,0.1359026369168357,0.25,0.02197802197802198,0.011494252873563218,0.42424242424242425,0.13680781758957655,0.08155339805825243,0.296875,0.125,0.17592592592592593,,,
MT,Qwen2.5-7B-Instruct,report_tail_head_templates_with_desc_1.json,0.5725677830940988,0.4191476941039113,0.3305709023941068,0.8125,0.34993270524899056,0.22298456260720412,0.6037383177570094,0.6284046692607004,0.6551724137931034,0.7771084337349398,0.3827893175074184,0.25393700787401574,0.8461538461538461,0.13333333333333333,0.07236842105263158,0.5806451612903226,0.21686746987951808,0.13333333333333333,0.7142857142857143,0.05747126436781609,0.10638297872340426,,,
